0	-1  air 	-1
1	1.5	stone	270
2	0.6	grass	2
3	0.5	dirt	2
4	2	cobblestone	270
5	2	planks	3
6	0	sapling	-1
7	-1	bedrock	-1
8	-1	flowing_water	-1
9	-1	water	-1
10	-1	flowing_lava	-1
11	-1	lava	-1
12	0.5	sand	2
13	0.6	gravel	2
14	3	gold_ore	257
15	3	iron_ore	274
16	3	coal_ore	270
17	2	log	3
18	0.2	leaves	359
19	0.6	sponge	-1
20	0.3	glass	-1
21	3	lapis_ore	274
22	3	lapis_block	274
23	3.5	dispenser	270
24	0.8	sandstone	270
25	0.8	noteblock	270
26	0.2	bed	-1
29	0.5	sticky_piston	-1
30	4	web	-1
31	0	tallgrass	-1
32	0	deadbush	-1
33	0.5	piston	-1
34	0.5	piston_head	-1
35	0.8	wool	359
36	-1	piston_extension	-1
37	0	yellow_flower	-1
38	0	red_flower	-1
39	0	brown_mushroom	-1
40	0	red_mushroom	-1
41	3	gold_block	257
42	5	iron_block	274
43	2	double_stone_slab	270
44	2	stone_slab	270
45	2	brick_block	270
46	0	tnt	-1
47	1.5	bookshelf	3
48	2	mossy_cobblestone	270
49	50	obsidian	278
50	0	torch	-1
51	0	fire	-1
52	5	mob_spawner	270
53	2	oak_stairs	3
54	2.5	chest	3
55	0	redstone_wire	-1
56	3	diamond_ore	257
57	5	diamond_block	257
58	2.5	crafting_table	3
59	0	wheat	-1
60	0.6	farmland	2
61	3.5	furnace	270
62	3.5	lit_furnace	270
63	1	standing_sign	3
64	3	wooden_door	3
65	0.4	ladder	3
66	0.7	rail	1
67	2	stone_stairs	270
68	1	wall_sign	3
69	0.5	lever	-1
70	0.5	stone_pressure_plate	270
71	5	iron_door	270
72	0.5	wooden_pressure_plate	3
73	3	redstone_ore	257
74	3	lit_redstone_ore	257
75	0	unlit_redstone_torch	-1
76	0	redstone_torch	-1
77	0.5	stone_button	-1
78	0.1	snow_layer	269
79	0.5	ice	1
80	0.2	snow	269
81	0.4	cactus	-1
82	0.6	clay	2
83	0	reeds	-1
84	2	jukebox	3
85	2	fence	3
86	1	pumpkin	3
87	0.4	netherrack	270
88	0.5	soul_sand	2
89	0.3	glowstone	-1
90	-1	portal	-1
91	1	lit_pumpkin	3
92	0.5	cake	-1
93	0	unpowered_repeater	-1
94	0	powered_repeater	-1
95	0.3	stained_glass	-1
96	3	trapdoor	3
97	0.75	monster_egg	-1
98	1.5	stonebrick	270
99	0.2	brown_mushroom_block	3
100	0.2	red_mushroom_block	3
101	5	iron_bars	270
102	0.3	glass_pane	-1
103	1	melon_block	3
104	0	pumpkin_seeds	-1
105	0	melon_seeds	-1
106	0.2	vine	359
107	2	fence_gate	3
108	2	brick_stairs	270
109	1.5	stone_brick_stairs	270
110	0.6	mycelium	2
111	0.6	waterlilly	-1
112	2	nether_brick	270
113	2	nether_brick_fence	270
114	2	nether_brick_stairs	270
115	0	nether_wart	-1
116	5	enchanting_table	270
117	0.5	brewing_stand	270
118	2	cauldron	270
119	-1	end_portal	-1
120	-1	end_portal_frame	-1
121	3	end_stone	270
122	3	dragon_egg	-1
123	0.3	redstone_lamp	-1
124	0.3	lit_redstone_lamp	-1
125	2	double_wooden_slab	3
126	2	wooden_slab	3
127	0.2	cocoa	3
128	0.8	sandstone_stairs	270
129	3	emerald_ore	257
130	22.5	ender_chest	270
131	0	tripwire_hook	-1
132	0	tripwire	-1
133	5	emerald_block	257
134	2	spruce_stairs	3
135	2	birch_stairs	3
136	2	jungle_stairs	3
137	-1	command_block	-1
138	3	beacon	-1
139	2	cobblestone_wall	270
140	0	flower_pot	-1
141	0	carrots	-1
142	0	potatoes	-1
143	0.5	wooden_button	-1
144	1	skull	-1
145	5	anvil	270
146	2.5	trapped_chest	3
147	0.5	heavy_weighted_pressure_plate	270
148	0.5	light_weighted_pressure_plate	270
149	0	unpowered_compatator	-1
150	0	powered_comparator	-1
151	0.2	daylight_detector	3
152	5	redstone_block	270
153	3	quartz_ore	270
154	3	hopper	270
155	0.8	quartz_block	270
156	0.8	quartz_stairs	270
157	0.7	activator_rail	1
158	3.5	dropper	270
159	1.25	stained_hardened_clay	270
160	0.3	stained_glass_pane	-1
161	0.2	leaves2	359
162	2	log2	3
163	2	acacia_stairs	3
164	2	dark_oak_stairs	3
165	0	slime	-1
166	-1	barrier	-1
167	3	iron_trapdoor	270
168	1.5	prismarine	270
169	0.3	sea_lantern	-1
170	0.5	hay_block	-1
171	0.1	carpet	-1
172	1.25	hardened_clay	270
173	5	coal_block	270
174	0.5	packed_ice	1
175	0	double_plant	-1
176	-2	unknown	-2
177	-2	unknown	-2
178	0.2	daylight_detector_inverted	3
179	0.8	red_sandstone	270
180	0.8	red_sandstone_stairs	270
181	2	double_red_sandstone_slab	270
182	2	red_sandstone_slab	270
183	2	spruce_fence_gate	3
184	2	birch_fence_gate	3
185	2	jungle_fence_gate	3
186	2	dark_oak_fence_gate	3
187	2	acacia_fence_gate	3
188	2	spruce_fence	3
189	2	birch_fence	3
190	2	jungle_fence	3
191	2	dark_oak_fence	3
192	2	acacia_fence	3
193	3	spruce_door	3
194	3	birch_door	3
195	3	jungle_door	3
196	3	acacia_door	3
197	3	dark_oak_door	3
